ID,Latitude,Longitude,highway:motorway_junction,tourism:attraction,highway:proposed,amenity:fuel,amenity:bus_station,highway:bus_stop,highway:traffic_signals,amenity:customs,amenity:place_of_worship,tourism:hotel,amenity:parking,amenity:pub,amenity:hospital,amenity:pharmacy,amenity:bank,amenity:cafe,shop:convenience,amenity:taxi,shop:supermarket,amenity:restaurant,tourism:gallery,shop:garden_centre,shop:bakery,amenity:townhall,highway:mini_roundabout,tourism:camp_site,amenity:post_office,shop:hardware,tourism:museum,tourism:viewpoint,amenity:school,amenity:doctors,tourism:artwork,shop:doityourself,amenity:cinema,amenity:fast_food,shop:books,amenity:post_box,amenity:police,amenity:fire_station,shop:butcher,amenity:veterinary,amenity:car_wash,shop:computer,landuse:recreation_ground,shop:art,shop:furniture,shop:gift,amenity:drinking_water,amenity:ferry_terminal,amenity:library,tourism:information,amenity:first_aid,amenity:mountain_rescue,tourism:alpine_hut,amenity:fountain,landuse:cemetery,tourism:hostel,amenity:bar,tourism:guest_house,amenity:courthouse,amenity:arts_centre,amenity:public_bath,tourism:motel,amenity:marketplace,shop:hifi,shop:yes,amenity:nightclub,shop:clothes,amenity:bureau_de_change,amenity:university,amenity:casino,shop:mobile_phone,shop:sports,shop:chemist,shop:bicycle,shop:kiosk,amenity:driving_school,shop:video,amenity:theatre,amenity:studio,amenity:embassy,shop:hairdresser,shop:erotic,shop:florist,amenity:community_centre,amenity:college,amenity:recycling,shop:ice_cream,amenity:telephone,shop:music,highway:services,shop:car_repair,amenity:kindergarten,shop:musical_instrument,amenity:clock,shop:department_store,amenity:disused,amenity:swimming_pool,shop:flooring,shop:radiotechnics,amenity:atm,shop:trade,shop:optician,shop:confectionery,shop:toys,shop:electronics,shop:shoes,shop:boutique,shop:organic,tourism:picnic_site,shop:tyres,tourism:Pension,amenity:hunting_stand,amenity:border_control,amenity:public_building,shop:frame,amenity:prison,shop:deli,shop:antiques,amenity:monastery,tourism:caravan_site,amenity:dentist,shop:general,shop:motorcycle,shop:pet,shop:copyshop,amenity:shop,shop:variety_store,amenity:grave_yard,tourism:zoo,shop:bookmaker,shop:beauty,amenity:car_rental,shop:car_parts,amenity:gym,shop:alcohol,shop:cosmetics,shop:greengrocer,landuse:industrial,tourism:chalet,shop:car,amenity:clinic,shop:photo,shop:mall,shop:medical_supply,amenity:childcare,landuse:commercial,amenity:ranger_station,landuse:quarry,landuse:orchard,landuse:meadow,amenity:parking_entrance,amenity:device_charging_station,shop:travel_agency,amenity:toilets,shop:newsagent,shop:beverages,amenity:bicycle_rental,shop:farm_supplies,shop:wine,amenity:dojo,shop:hairdresser_equipment,shop:dry_cleaning,tourism:yes,shop:tailor,landuse:retail,amenity:car_sharing,landuse:farmland,shop:jewelry,shop:water_sports,shop:candles,shop:bag,shop:leather,amenity:shelter,amenity:register_office,shop:tea,shop:food,shop:video_games,shop:pastry,amenity:gambling,shop:fabric,amenity:social_facility,shop:houseware,shop:carpet,tourism:bed_and_breakfast,shop:ticket,shop:outdoor,healthcare:clinic,amenity:bench,shop:lottery,shop:paint,amenity:ice_cream,shop:bathroom_furnishing,shop:seafood,shop:stationery,tourism:apartment,shop:farm,amenity:internet_cafe,healthcare:biochemistry,amenity:culture_center,shop:windows,shop:massage,shop:fishing,shop:shoe_repair,shop:religion,highway:crossing,amenity:bicycle_parking,shop:perfumery,healthcare:pharmacy,shop:coffee,tourism:wilderness_hut,healthcare:hospital,shop:plumber_shop,shop:craft,amenity:stripclub
90372885,44.7839922,20.4822462,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90378439,44.7964234,20.4538293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97769774,45.3060156,19.8057489,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114147859,44.7933111,20.4949495,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123295428,44.8318017,20.3667803,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123691282,43.283273,21.8010789,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123691311,43.1956416,21.8514,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249251860,44.7719723,20.5028072,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249251872,44.7759044,20.5003522,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249251890,44.7918102,20.4974306,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249479290,45.5166946,20.3163069,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252184706,44.7999562,20.4460174,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253736260,44.8584431,20.4803087,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253736359,44.8726967,20.470621,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255327314,44.8182232,20.4074368,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
